station,project,lat,lon,building
JER,SF6,55.52363217387969,12.185804909042153,True
JLV,Mimer,55.632672443681095,12.319977997891812,True
JSL,Mimer,57.280869450680754,10.071468432925382,False
KAE,SF6,55.64788548061462,8.575815740230263,True
KAG,Mimer,56.639506330644735,9.8817026303262,True
KAM,Mimer|SF6,55.60925590555397,12.073784798420489,True
KAS,Mimer|SF6,55.0357675387155,9.271172274093624,True
KAU,Mimer,55.47059126663046,9.79031712323018,True
KBB,SF6,56.621197,10.06978,True
KIN,Mimer|SF6,55.4114167501104,9.969482727249927,True
KLF,SF6,57.05718995266807,9.144621552582564,True
KNA,SF6,55.71275889958224,9.490315370105106,True
KRD,Mimer,57.0245800305985,9.27423409240458,True
KSV,SF6,55.62355350334856,11.879554722230257,True
KYV,Mimer|SF6,55.810421616235296,11.879858083269577,True
KÆH,Mimer,56.27733931321543,10.164305540367764,False
LAG,SF6,55.56323317893917,9.548432401662794,True
LIN,Mimer,55.68260893869896,12.506168157304511,True
LKR,SF6,56.064234727705866,8.332177894508671,True
LSØ,SF6,57.257911499618814,10.89775752855444,True
LUP,Mimer|SF6,55.79960315573769,11.98261244497508,True
LVN,Mimer,54.78424940842615,11.690639711470368,True
LYK,Mimer|SF6,55.466504659973424,8.504562420504318,True
LYNV,SF6,57.23992139169447,10.505924370942912,True
MAG,Mimer|SF6,55.28179275618884,9.365722190957822,True
MAL,Mimer|SF6,56.04796921985362,10.14083249175412,True
MAV,Mimer|SF6,54.99520966523797,11.882209220224292,True
MES,Mimer|SF6,56.36636110884509,10.497570098483012,True
MKS,Mimer,56.25213442427272,10.34357808242462,True
MLP,SF6,56.21077946487314,10.188968466778023,True
MLU,SF6,56.42950742480341,10.09419797710727,True
MOSØ,SF6,55.58476248443807,12.259487013487073,True
MAAL,SF6,55.745471,12.326052,True
NKR,Mimer,56.97124670230088,9.325391210854718,True
NOR,SF6,57.03089040424263,8.700717190383015,True
NSP,SF6,57.26693010693322,9.979572979150449,True
NSV,SF6,55.24750075246225,11.712465287576308,True
NVV,Mimer|SF6,57.0766846638132,10.047052243557072,True
NYR,SF6,55.54539364377059,11.641225832948894,True
OLS,SF6,55.764418,12.141696,True
ORH,SF6,54.953315924940966,11.844867818871412,True
OSH,SF6,55.205464,11.742801,True
OSO,Mimer|SF6,55.39425915263928,10.4489441827142,True
OST,SF6,55.57627683495014,11.987317375784354,True
PÅR,Mimer,56.157693299689065,9.349619888190308,True
RAD,SF6,54.783681996096064,11.690227739202792,True
RAM,SF6,56.49183200371872,8.218035830720178,False
RBY,SF6,54.70361537361912,11.387419919320974,True
REF,Mimer,56.19164896402217,9.374597689149198,False
REV,Mimer,55.50458542668645,9.164686737600508,True
RIB,SF6,55.32609911338427,8.800772592928128,True
RIL,Mimer,55.2817378093412,11.723943905158157,True
RIN,Mimer|SF6,55.43536533644765,11.748182302712168,True
ROV,Mimer,55.46235327677495,9.189692584939992,True
RSL,SF6,56.70850290657975,8.96447313041445,True
RYT,Mimer|SF6,55.58965267165056,9.71240591956232,True
SBA,SF6,57.45891368225335,10.45814701743627,True
